block,hospitals_within_circle
block_no :1355,15.0
block_no :1356,20.0
block_no :1357,10.0
block_no :1358,8.0
block_no :1359,10.0
block_no :1360,12.0
block_no :1361,13.0
block_no :1362,13.0
block_no :1363,13.0
block_no :1364,16.0
block_no :1365,16.0
block_no :1366,14.0
block_no :1367,19.0
block_no :1368,17.0
block_no :1369,15.0
block_no :1370,24.0
block_no :1371,21.0
block_no :1372,23.0
block_no :1373,24.0
block_no :1374,30.0
block_no :1375,33.0
block_no :1376,24.0
block_no :1377,26.0
block_no :1378,17.0
block_no :1379,19.0
block_no :1380,21.0
block_no :1381,25.0
block_no :1382,16.0
block_no :1383,25.0
block_no :1384,54.0
block_no :1385,69.0
block_no :1386,76.0
block_no :1387,85.0
block_no :1388,85.0
block_no :1389,81.0
block_no :1390,84.0
block_no :1391,81.0
block_no :1392,81.0
block_no :1393,81.0
block_no :1394,83.0
block_no :1395,79.0
block_no :1396,77.0
block_no :1397,73.0
block_no :1398,74.0
block_no :1399,74.0
block_no :1400,72.0
block_no :1401,80.0
block_no :1402,62.0
block_no :1403,62.0
block_no :1404,58.0
block_no :1405,57.0
block_no :1406,60.0
block_no :1407,61.0
block_no :1408,73.0
block_no :1409,71.0
block_no :1410,75.0
block_no :1411,82.0
block_no :1412,82.0
block_no :1413,77.0
block_no :1414,81.0
block_no :1415,67.0
block_no :1416,73.0
block_no :1417,74.0
block_no :1418,74.0
block_no :1419,56.0
block_no :1420,65.0
block_no :1421,52.0
block_no :1422,51.0
block_no :1423,47.0
block_no :1424,41.0
block_no :1425,66.0
block_no :1426,62.0
block_no :1427,64.0
block_no :1428,74.0
block_no :1429,63.0
block_no :1430,61.0
block_no :1431,63.0
block_no :1432,62.0
block_no :1433,61.0
block_no :1434,35.0
block_no :1435,47.0
block_no :1436,40.0
block_no :1437,42.0
block_no :1438,55.0
block_no :1439,47.0
block_no :1440,42.0
block_no :1441,41.0
block_no :1442,36.0
block_no :1443,41.0
block_no :1444,33.0
block_no :1445,28.0
block_no :1446,11.0
block_no :1447,19.0
block_no :1448,16.0
block_no :1449,21.0
block_no :1450,19.0
block_no :1451,12.0
block_no :1452,4.0
block_no :1453,7.0
block_no :1454,4.0
block_no :1455,7.0
block_no :1456,6.0
block_no :1457,6.0
block_no :1458,4.0
block_no :1459,18.0
block_no :1460,22.0
block_no :1461,29.0
block_no :1462,28.0
block_no :1463,20.0
block_no :1464,19.0
block_no :1465,25.0
block_no :1466,36.0
block_no :1467,42.0
block_no :1468,39.0
block_no :1469,60.0
block_no :1470,50.0
block_no :1471,43.0
block_no :1472,41.0
block_no :1473,54.0
block_no :1474,59.0
block_no :1475,55.0
block_no :1476,50.0
block_no :1477,35.0
block_no :1478,25.0
block_no :1479,35.0
block_no :1480,22.0
block_no :1481,22.0
block_no :1482,15.0
block_no :1483,9.0
block_no :1484,4.0
block_no :1485,5.0
block_no :1486,5.0
block_no :1487,2.0
block_no :1488,5.0
block_no :1489,4.0
block_no :1490,4.0
block_no :1491,4.0
block_no :1492,2.0
block_no :1493,9.0
block_no :1494,3.0
block_no :1495,10.0
block_no :1496,4.0
block_no :1497,12.0
block_no :1498,5.0
block_no :1499,1.0
block_no :1500,2.0
block_no :1501,1.0
block_no :1502,2.0
block_no :1503,2.0
block_no :1504,1.0
block_no :1505,1.0
block_no :1506,2.0
block_no :1507,2.0
block_no :1508,3.0
block_no :1509,1.0
block_no :1510,4.0
block_no :1511,1.0
block_no :1512,1.0
block_no :1513,1.0
block_no :1514,1.0
block_no :1515,1.0
block_no :1516,1.0
block_no :1517,1.0
block_no :1518,1.0
block_no :1519,1.0
block_no :1520,1.0
block_no :1521,6.0
block_no :1522,5.0
block_no :1523,6.0
block_no :1524,16.0
block_no :1525,16.0
block_no :1526,17.0
block_no :1527,12.0
block_no :1528,5.0
block_no :1529,6.0
block_no :1530,6.0
block_no :1531,5.0
block_no :1532,5.0
block_no :1533,5.0
block_no :1534,5.0
block_no :1535,5.0
block_no :1536,5.0
block_no :1537,5.0
block_no :1538,5.0
block_no :1539,5.0
block_no :1540,5.0
block_no :1541,5.0
block_no :1542,1.0
block_no :1543,0.0
block_no :1544,0.0
block_no :1545,1.0
block_no :1546,0.0
block_no :1547,23.0
block_no :1548,18.0
block_no :1549,21.0
block_no :1550,2.0
block_no :1551,2.0
block_no :1552,2.0
block_no :1553,2.0
block_no :1554,2.0
block_no :1555,2.0
block_no :1556,0.0
block_no :1557,0.0
block_no :1558,0.0
block_no :1559,0.0
block_no :1560,2.0
block_no :1561,2.0
block_no :1562,2.0
block_no :1563,4.0
block_no :1564,3.0
block_no :1565,4.0
block_no :1566,2.0
block_no :1567,3.0
block_no :1568,4.0
block_no :1569,2.0
block_no :1570,2.0
block_no :1571,2.0
block_no :1572,2.0
block_no :1573,2.0
block_no :1574,2.0
block_no :1575,2.0
block_no :1576,2.0
block_no :1577,2.0
block_no :1578,2.0
block_no :1579,2.0
block_no :1580,2.0
block_no :1581,2.0
block_no :1582,3.0
block_no :1583,3.0
block_no :1584,3.0
block_no :1585,5.0
block_no :1586,3.0
block_no :1587,1.0
block_no :1588,1.0
block_no :1589,1.0
block_no :1590,2.0
block_no :1591,2.0
block_no :1592,1.0
block_no :1593,1.0
block_no :1594,2.0
block_no :1595,3.0
block_no :1596,3.0
block_no :1597,3.0
block_no :1598,3.0
block_no :1599,3.0
block_no :1600,2.0
block_no :1601,2.0
block_no :1602,2.0
block_no :1603,2.0
block_no :1604,2.0
block_no :1605,2.0
block_no :1606,2.0
block_no :1607,2.0
block_no :1608,2.0
block_no :1609,2.0
block_no :1610,2.0
block_no :1611,2.0
block_no :1612,2.0
block_no :1613,0.0
block_no :1614,2.0
block_no :1615,0.0
block_no :1616,0.0
block_no :1617,0.0
block_no :1618,0.0
block_no :1619,0.0
block_no :1620,0.0
block_no :1621,0.0
block_no :1622,0.0
block_no :1623,0.0
block_no :1624,0.0
block_no :1625,0.0
block_no :1626,0.0
block_no :1627,2.0
block_no :1628,2.0
block_no :1629,2.0
block_no :1630,1.0
block_no :1631,0.0
block_no :1632,0.0
block_no :1633,2.0
block_no :1634,1.0
block_no :1635,2.0
block_no :1636,2.0
block_no :1637,2.0
block_no :1638,0.0
block_no :1639,0.0
block_no :1640,0.0
block_no :1641,0.0
block_no :1642,0.0
block_no :1643,1.0
block_no :1644,0.0
block_no :1645,0.0
block_no :1646,0.0
block_no :1647,0.0
block_no :1648,0.0
block_no :1649,0.0
block_no :1650,0.0
block_no :1651,11.0
block_no :1652,0.0
block_no :1653,16.0
block_no :1654,28.0
block_no :1655,28.0
block_no :1656,29.0
