block,hospitals_within_circle
block_no :318,12.0
block_no :319,29.0
block_no :320,29.0
block_no :321,24.0
block_no :322,19.0
block_no :323,13.0
block_no :324,12.0
block_no :325,13.0
block_no :326,17.0
block_no :327,17.0
block_no :328,25.0
block_no :329,15.0
block_no :330,14.0
block_no :331,29.0
block_no :332,29.0
block_no :333,29.0
block_no :334,29.0
block_no :335,29.0
block_no :336,29.0
block_no :337,28.0
block_no :338,29.0
block_no :339,29.0
block_no :340,29.0
block_no :341,29.0
block_no :342,29.0
block_no :343,29.0
block_no :344,29.0
block_no :345,29.0
block_no :346,29.0
block_no :347,29.0
block_no :348,29.0
block_no :349,29.0
block_no :350,20.0
block_no :351,20.0
block_no :352,27.0
block_no :353,25.0
block_no :354,26.0
block_no :355,29.0
block_no :356,27.0
block_no :357,29.0
block_no :358,12.0
block_no :359,14.0
block_no :360,2.0
block_no :361,13.0
block_no :362,13.0
block_no :363,6.0
block_no :364,0.0
block_no :365,0.0
block_no :366,0.0
block_no :367,0.0
block_no :368,0.0
block_no :369,0.0
block_no :370,0.0
block_no :371,0.0
block_no :372,1.0
block_no :373,1.0
block_no :374,1.0
block_no :375,0.0
block_no :376,0.0
block_no :377,0.0
block_no :378,0.0
block_no :379,0.0
block_no :380,72.0
block_no :381,77.0
block_no :382,83.0
block_no :383,68.0
block_no :384,69.0
block_no :385,76.0
block_no :386,74.0
block_no :387,73.0
block_no :388,77.0
block_no :389,52.0
block_no :390,68.0
block_no :391,67.0
block_no :392,44.0
block_no :393,44.0
block_no :394,56.0
block_no :395,52.0
block_no :396,54.0
block_no :397,59.0
block_no :398,58.0
block_no :399,66.0
block_no :400,50.0
block_no :401,38.0
block_no :402,37.0
block_no :403,42.0
block_no :404,30.0
block_no :405,31.0
block_no :406,32.0
block_no :407,38.0
block_no :408,37.0
block_no :409,30.0
block_no :410,33.0
block_no :411,33.0
block_no :412,35.0
block_no :413,35.0
block_no :414,25.0
block_no :415,28.0
block_no :416,26.0
block_no :417,28.0
block_no :418,28.0
block_no :419,30.0
block_no :420,31.0
block_no :421,26.0
block_no :422,25.0
block_no :423,27.0
block_no :424,19.0
block_no :425,21.0
block_no :426,22.0
block_no :427,24.0
block_no :428,22.0
block_no :429,22.0
block_no :430,22.0
block_no :431,22.0
block_no :432,25.0
block_no :433,40.0
block_no :434,40.0
block_no :435,49.0
block_no :436,35.0
block_no :437,46.0
block_no :438,54.0
block_no :439,71.0
block_no :440,77.0
block_no :441,79.0
block_no :442,86.0
block_no :443,84.0
block_no :444,84.0
block_no :445,87.0
block_no :446,85.0
block_no :447,87.0
block_no :448,88.0
block_no :449,83.0
block_no :450,85.0
block_no :451,82.0
block_no :452,86.0
block_no :453,81.0
block_no :454,82.0
block_no :455,85.0
block_no :456,85.0
block_no :457,87.0
block_no :458,87.0
block_no :459,84.0
block_no :460,83.0
