Type,Coordinates
Polygon,"POLYGON ((-95.4001987 29.693349, -95.3998393 29.6933909, -95.3992116 29.6934072, -95.3989193 29.6934422, -95.3986725 29.6935098, -95.3981951 29.6937148, -95.3976372 29.6939175, -95.3972349 29.6933513, -95.39709 29.6931253, -95.396921 29.6927828, -95.3968647 29.6925172, -95.396803 29.6916434, -95.4000445 29.6914652, -95.4001987 29.693349))"
Polygon,"POLYGON ((-95.4081912 29.7006066, -95.4089762 29.7011169, -95.4094054 29.7005648, -95.4099995 29.6998239, -95.4096213 29.6996002, -95.4095516 29.6995781, -95.4089863 29.699243, -95.4089675 29.6992792, -95.4087556 29.6997497, -95.4087068 29.6998663, -95.4086259 29.7000201, -95.4085683 29.7001185, -95.4085246 29.700168, -95.4084507 29.700279, -95.4083711 29.7003859, -95.408286 29.7004884, -95.4082265 29.7005527, -95.4081912 29.7006066))"
Polygon,"POLYGON ((-95.4302942 29.8087635, -95.4303042 29.8092148, -95.4305107 29.8092113, -95.4305197 29.8096182, -95.4314678 29.8096024, -95.4314488 29.8087443, -95.4302942 29.8087635))"
Polygon,"POLYGON ((-95.4049199 29.8037938, -95.4049283 29.8037327, -95.4049024 29.8035001, -95.4048874 29.8034972, -95.4048289 29.8034829, -95.4047775 29.8034548, -95.4047373 29.8034153, -95.4047221 29.8033871, -95.4047115 29.8033676, -95.4047001 29.8033401, -95.4046555 29.8033457, -95.4046599 29.8029718, -95.4037155 29.8029682, -95.4037535 29.8038216, -95.4049199 29.8037938))"
Polygon,"POLYGON ((-95.310482 29.8099648, -95.3104896 29.81272, -95.3109023 29.8129289, -95.3113571 29.8131079, -95.3118309 29.8132538, -95.3122092 29.8133334, -95.3127289 29.8133698, -95.3156407 29.8132969, -95.3156024 29.8118779, -95.3156063 29.8111219, -95.3143185 29.8111285, -95.3143109 29.8110092, -95.3129811 29.8110291, -95.3129887 29.8099316, -95.3106438 29.8099627, -95.310482 29.8099648))"
Polygon,"POLYGON ((-95.410447 29.78678, -95.4104427 29.7865847, -95.4103732 29.7865859, -95.4103776 29.7867812, -95.410447 29.78678))"
Polygon,"POLYGON ((-95.401108 29.7092197, -95.4007217 29.7090147, -95.400416 29.7090054, -95.4002175 29.7089052, -95.3998286 29.7088167, -95.3991821 29.7088144, -95.3991714 29.7089891, -95.3991097 29.7091638, -95.3990185 29.7092896, -95.3989005 29.7093828, -95.3987718 29.709483, -95.3978169 29.7100374, -95.3976506 29.7101446, -95.3974468 29.7103729, -95.3973314 29.7106711, -95.3972027 29.7109623, -95.3989327 29.711971, -95.3991392 29.7121341, -95.398761 29.7125813, -95.3995443 29.7130159, -95.4008903 29.7112923, -95.4016739 29.7102867, -95.4006842 29.709688, -95.401108 29.7092197))"
Polygon,"POLYGON ((-95.2008797 29.7710945, -95.2008529 29.770325, -95.2000281 29.7703576, -95.2000469 29.7711096, -95.2008797 29.7710945))"
Polygon,"POLYGON ((-95.1195958 29.554687, -95.1194342 29.5548033, -95.1194493 29.5548192, -95.1192533 29.5549603, -95.1191196 29.5548198, -95.1192621 29.5547172, -95.1192812 29.5547373, -95.1193358 29.554698, -95.1192355 29.5545925, -95.1193959 29.554477, -95.1195958 29.554687))"
Polygon,"POLYGON ((-95.3989582 29.8150152, -95.3989541 29.8147806, -95.3991242 29.8147757, -95.399133 29.8150102, -95.3989582 29.8150152))"
Polygon,"POLYGON ((-95.3912268 29.774515, -95.3912281 29.7746309, -95.3909459 29.7746332, -95.3909411 29.774177, -95.3909786 29.7741767, -95.3909773 29.7740524, -95.3912768 29.77405, -95.3912817 29.7745145, -95.3912268 29.774515))"
Polygon,"POLYGON ((-95.429797 29.819935, -95.429797 29.820079, -95.429883 29.820079, -95.429883 29.819935, -95.429797 29.819935))"
Polygon,"POLYGON ((-95.3991095 29.7880715, -95.3991077 29.7881789, -95.3993319 29.7881817, -95.3993337 29.7880743, -95.3991095 29.7880715))"
Polygon,"POLYGON ((-95.4542387 29.6832345, -95.4541571 29.683292, -95.453985 29.6833332, -95.4539436 29.6832824, -95.4540081 29.6832393, -95.4539899 29.6832182, -95.4541301 29.6831151, -95.4542387 29.6832345))"
Polygon,"POLYGON ((-95.3844828 29.8602637, -95.3841663 29.8602684, -95.384165 29.8601358, -95.3844775 29.8601335, -95.3844828 29.8602637))"
Polygon,"POLYGON ((-95.408378 29.8469663, -95.4081505 29.8469695, -95.4081476 29.8468152, -95.4083752 29.846812, -95.408378 29.8469663))"
Polygon,"POLYGON ((-95.3847013 29.8346648, -95.3849024 29.8346772, -95.3848923 29.834797, -95.384942 29.8348022, -95.3849286 29.8348829, -95.3847192 29.8349418, -95.3847292 29.8348219, -95.3847651 29.8348241, -95.3847679 29.8347913, -95.3847563 29.8347905, -95.3847005 29.8347345, -95.3846829 29.8347334, -95.3846865 29.8346913, -95.3846889 29.8346634, -95.3847013 29.8346648))"
Polygon,"POLYGON ((-95.3840273 29.8502841, -95.384028 29.8503602, -95.3840287 29.8504386, -95.3835626 29.8504418, -95.3835602 29.8501813, -95.3837402 29.85018, -95.3837412 29.8502861, -95.3840273 29.8502841))"
Polygon,"POLYGON ((-95.2307691 30.0452383, -95.2307442 30.0440875, -95.2304315 30.0440604, -95.2293646 30.0438829, -95.2290935 30.0438288, -95.2289545 30.0438408, -95.2287947 30.0438889, -95.2286765 30.0440093, -95.2285827 30.0440995, -95.228541 30.0442289, -95.2285514 30.0444003, -95.2288155 30.0452607, -95.2307691 30.0452383))"
Polygon,"POLYGON ((-95.1887101 30.0571127, -95.1889321 30.0570544, -95.1888909 30.0569368, -95.1886688 30.0569951, -95.1887101 30.0571127))"
Polygon,"POLYGON ((-95.2564378 30.0530862, -95.2558955 30.0530751, -95.2549896 30.0529619, -95.253398 30.0526748, -95.2526452 30.0525312, -95.2525686 30.052465, -95.2525559 30.0523683, -95.2528079 30.0511784, -95.2536914 30.0473931, -95.253752 30.0473047, -95.2543804 30.047371, -95.2550502 30.0474925, -95.2555032 30.0474759, -95.2559848 30.0473848, -95.2566228 30.0488316, -95.2566802 30.0502093, -95.2562623 30.0513496, -95.2561379 30.0517996, -95.2562081 30.0522303, -95.2564059 30.0527493, -95.2564569 30.0530033, -95.2564378 30.0530862))"
Polygon,"POLYGON ((-95.2580899 30.0472858, -95.2580389 30.0473021, -95.2579987 30.0473578, -95.2580309 30.0476944, -95.2582106 30.0481286, -95.2583957 30.0484513, -95.2584842 30.0486626, -95.2585244 30.0487833, -95.2601552 30.0487578, -95.2601337 30.0472997, -95.2580899 30.0472858))"
Polygon,"POLYGON ((-95.4046834 29.8581824, -95.404686 29.858432, -95.4044769 29.8584337, -95.4044742 29.8581841, -95.4046834 29.8581824))"
Polygon,"POLYGON ((-95.4083176 29.8479864, -95.4083364 29.8479108, -95.4079918 29.8479097, -95.4080105 29.847392, -95.4079488 29.8473886, -95.4079556 29.8473222, -95.4082063 29.847335, -95.4081969 29.8476421, -95.4084263 29.8476887, -95.408488 29.8476584, -95.4088367 29.8477317, -95.4088997 29.8476945, -95.4089319 29.8477003, -95.4088635 29.8479271, -95.4084974 29.8478469, -95.4084813 29.8479015, -95.4088568 29.847976, -95.408834 29.8480748, -95.4085671 29.8480202, -95.4085523 29.8480667, -95.4090646 29.848176, -95.4090271 29.8482993, -95.4086033 29.8482144, -95.4085483 29.8483726, -95.4083753 29.8483354, -95.4083485 29.8484366, -95.4078992 29.8483366, -95.407926 29.848189, -95.4079238 29.8481248, -95.4075799 29.8480552, -95.407596 29.8479973, -95.4075568 29.8479892, -95.4075378 29.8479852, -95.4075176 29.8479811, -95.4074836 29.8481044, -95.407299 29.8480662, -95.4073408 29.847914, -95.4074909 29.847945, -95.4075085 29.8478808, -95.4076158 29.847903, -95.4076111 29.8479201, -95.407958 29.8479917, -95.4083176 29.8479864), (-95.4082628 29.8481803, -95.4082747 29.8481257, -95.407947 29.8481306, -95.4079488 29.848185, -95.4082628 29.8481803))"
Polygon,"POLYGON ((-95.4592484 29.7224028, -95.459245 29.7221137, -95.4592788 29.7220723, -95.4592365 29.7220361, -95.4592343 29.7218614, -95.4588105 29.7218668, -95.4588268 29.7224014, -95.4592484 29.7224028))"
Polygon,"POLYGON ((-95.5490349 29.7822373, -95.5478711 29.7822414, -95.547763 29.7822418, -95.5476614 29.782235, -95.5476584 29.7833772, -95.5471652 29.7833734, -95.5471569 29.7837683, -95.5461081 29.7837753, -95.5461027 29.7829978, -95.5450407 29.7829978, -95.5450477 29.7821573, -95.5443138 29.7821459, -95.5443066 29.7819879, -95.5444521 29.7814204, -95.5445204 29.7811542, -95.544599 29.780803, -95.5446464 29.7804907, -95.5446687 29.7798788, -95.545071 29.7798811, -95.5451469 29.7798397, -95.5451465 29.7796424, -95.5460941 29.7796392, -95.5461031 29.7791759, -95.547299 29.7791823, -95.547637 29.7792242, -95.5479132 29.7792568, -95.5480554 29.779287, -95.5482112 29.779367, -95.548576 29.7795323, -95.548796 29.7795858, -95.5490652 29.7795865, -95.5490349 29.7822373))"
Polygon,"POLYGON ((-95.5005383 29.7078401, -95.5005358 29.7076988, -95.5005085 29.7076992, -95.5005065 29.7075877, -95.5005421 29.7075872, -95.5005396 29.7074496, -95.4998463 29.7074591, -95.4998487 29.7075954, -95.4998732 29.7075951, -95.4998752 29.7077034, -95.4998462 29.7077038, -95.4998488 29.7078494, -95.5005383 29.7078401))"
Polygon,"POLYGON ((-95.5721462 29.7363766, -95.5721385 29.7363651, -95.5721314 29.7363495, -95.5721255 29.7363167, -95.5720696 29.7363167, -95.5720667 29.736141, -95.5721933 29.7361391, -95.572194 29.7361624, -95.5723778 29.7361597, -95.5723842 29.7364136, -95.572206 29.7364123, -95.5721925 29.7364101, -95.5721798 29.7364059, -95.5721709 29.7364014, -95.5721626 29.7363949, -95.5721545 29.7363866, -95.5721462 29.7363766))"
Polygon,"POLYGON ((-95.4677592 29.7229202, -95.4677581 29.7228578, -95.4678137 29.7228571, -95.4678113 29.7227158, -95.4677618 29.7227164, -95.4677607 29.7226494, -95.4675096 29.7226525, -95.467514 29.7229232, -95.4677592 29.7229202))"
Polygon,"POLYGON ((-95.4650276 29.6636983, -95.4650259 29.6635505, -95.4647387 29.6635526, -95.4647379 29.6637008, -95.4650276 29.6636983))"
Polygon,"POLYGON ((-95.6918379 29.7856183, -95.688742 29.7855867, -95.688639 29.7856263, -95.6886189 29.7856907, -95.6886019 29.7859984, -95.6885648 29.7862434, -95.6885486 29.7880098, -95.6885537 29.7883288, -95.6885563 29.7887334, -95.6888974 29.7887513, -95.6890309 29.7887618, -95.6891927 29.7887843, -95.6893737 29.7888052, -95.6896196 29.7888527, -95.6899746 29.7888949, -95.6904087 29.7889706, -95.6906805 29.7889781, -95.6906989 29.7889852, -95.6907259 29.7889884, -95.6907921 29.7889999, -95.6912067 29.78903, -95.69153 29.7890407, -95.6918227 29.7890342, -95.6923393 29.7889976, -95.6928432 29.7889294, -95.6935688 29.7888335, -95.695599 29.788785, -95.6955956 29.7880841, -95.6955508 29.788048, -95.6952374 29.7881194, -95.6950332 29.7880682, -95.6948788 29.7879675, -95.6948265 29.7878814, -95.6947985 29.7876436, -95.6947811 29.7873547, -95.6945602 29.787228, -95.6945907 29.7868838, -95.6948809 29.7866586, -95.6949727 29.7863745, -95.6948769 29.7860628, -95.6948518 29.7856551, -95.6918379 29.7856183))"
Polygon,"POLYGON ((-95.6996648 29.7888245, -95.6995007 29.7888244, -95.6994963 29.7887924, -95.6986949 29.7887937, -95.6984898 29.788818, -95.6977134 29.7887962, -95.695599 29.788785, -95.6955956 29.7880841, -95.6955508 29.788048, -95.6952374 29.7881194, -95.6950332 29.7880682, -95.6948788 29.7879675, -95.6948265 29.7878814, -95.6947985 29.7876436, -95.6947811 29.7873547, -95.6945602 29.787228, -95.6945907 29.7868838, -95.6948809 29.7866586, -95.6949727 29.7863745, -95.6948769 29.7860628, -95.6948518 29.7856551, -95.6978448 29.7857003, -95.6978645 29.7856032, -95.6985666 29.7856048, -95.6994894 29.7856506, -95.6996625 29.7856525, -95.7012972 29.7856541, -95.7015374 29.785658, -95.7015437 29.7875869, -95.7015388 29.7881249, -95.7015497 29.7888747, -95.6996648 29.7888245))"
Polygon,"POLYGON ((-95.5926116 29.7268984, -95.5926806 29.7304962, -95.5933188 29.7304843, -95.5939743 29.7304154, -95.5942917 29.7303525, -95.5951713 29.7300948, -95.5962649 29.7297713, -95.5962097 29.7294657, -95.5962063 29.7280967, -95.5955508 29.7280757, -95.5955612 29.7273448, -95.5945607 29.7273418, -95.5945814 29.7268655, -95.5926116 29.7268984))"
Polygon,"POLYGON ((-95.5197425 29.6950817, -95.5200466 29.6951019, -95.5203304 29.6951748, -95.5209994 29.6957685, -95.5215844 29.6962842, -95.5231395 29.6949358, -95.5256909 29.6926843, -95.5255229 29.692566, -95.5251551 29.6923623, -95.5254447 29.6919874, -95.5255751 29.6920604, -95.525688 29.6918818, -95.5251725 29.6918038, -95.5246715 29.6917686, -95.5240634 29.6917308, -95.5217292 29.691766, -95.520898 29.6917409, -95.5201567 29.6916201, -95.5194153 29.6914163, -95.5192734 29.6914088, -95.5193139 29.6938566, -95.5199568 29.693844, -95.5199684 29.6940403, -95.5197715 29.6942038, -95.5197425 29.6950817))"
Polygon,"POLYGON ((-95.5454202 29.8228439, -95.5454324 29.8248776, -95.5481171 29.824831, -95.548046 29.8230113, -95.5475029 29.8230348, -95.5471328 29.8230092, -95.5465266 29.8229138, -95.5460036 29.8228509, -95.5457246 29.82283, -95.5454202 29.8228439))"
Polygon,"POLYGON ((-95.5731632 29.6813636, -95.5731416 29.6788684, -95.5714344 29.6788841, -95.5714426 29.6799102, -95.5714543 29.6813868, -95.5731632 29.6813636))"
Polygon,"POLYGON ((-95.5804512 29.7320313, -95.5789572 29.7320755, -95.5789813 29.7328185, -95.5796546 29.7329629, -95.5804056 29.7331073, -95.5804297 29.7329187, -95.58047 29.7324529, -95.5804512 29.7320313))"
Polygon,"POLYGON ((-95.6060476 29.7698786, -95.60579 29.7698835, -95.6057884 29.7698211, -95.6057872 29.7697711, -95.6057855 29.7697071, -95.6060432 29.7697022, -95.6060476 29.7698786))"
Polygon,"POLYGON ((-95.6875059 29.7876404, -95.6875072 29.787489, -95.6873527 29.7874832, -95.6873482 29.7876367, -95.6875059 29.7876404))"
Polygon,"POLYGON ((-95.6871081 29.7862965, -95.6869961 29.7862934, -95.687 29.7861558, -95.6871156 29.7861571, -95.6871081 29.7862965))"
Polygon,"POLYGON ((-95.6868468 29.786079, -95.6867346 29.7860744, -95.6867385 29.7858486, -95.6868534 29.7858543, -95.6868468 29.786079))"
Polygon,"POLYGON ((-95.6321092 29.788216, -95.6319624 29.7872701, -95.6319664 29.78698, -95.6319681 29.7868536, -95.632136 29.7854538, -95.6291165 29.7854488, -95.6291266 29.7872308, -95.6291214 29.7879057, -95.6290656 29.7881865, -95.6298058 29.7882447, -95.6307484 29.7882405, -95.6321092 29.788216))"
Polygon,"POLYGON ((-95.4660649 29.7457281, -95.4662818 29.7457279, -95.4662816 29.7455437, -95.4664003 29.7455436, -95.4665162 29.7456293, -95.466637 29.7456294, -95.4666372 29.7450431, -95.4664924 29.745043, -95.4664137 29.7451375, -95.4662828 29.7451376, -95.4662826 29.744942, -95.466064 29.7449422, -95.4660649 29.7457281))"
Polygon,"POLYGON ((-95.4726168 29.7092333, -95.4741616 29.7092159, -95.4741415 29.7075082, -95.47257 29.707514, -95.4726168 29.7092333))"
Polygon,"POLYGON ((-95.49894 29.7100504, -95.4969393 29.7100882, -95.4968989 29.7089549, -95.4989524 29.7089279, -95.4989866 29.7100558, -95.49894 29.7100504))"
Polygon,"POLYGON ((-95.6278099 29.7564699, -95.6278098 29.7564217, -95.6280641 29.756422, -95.6280642 29.7564712, -95.6278099 29.7564699))"
Polygon,"POLYGON ((-95.6268705 29.7577897, -95.6267392 29.7576355, -95.6267174 29.7576106, -95.6266168 29.7576764, -95.6267685 29.7578555, -95.6268705 29.7577897))"
Polygon,"POLYGON ((-95.6261204 29.7560634, -95.6259677 29.7560645, -95.6259664 29.7561076, -95.6260524 29.7562077, -95.6260763 29.7561942, -95.6261193 29.7562424, -95.6261969 29.7561932, -95.626139 29.7561232, -95.6261217 29.7561346, -95.6261204 29.7560634))"
Polygon,"POLYGON ((-95.5024889 29.7207689, -95.501999 29.7207691, -95.501999 29.72066, -95.5019374 29.72066, -95.5019376 29.7210741, -95.5024891 29.7210739, -95.5024889 29.7207689))"
Polygon,"POLYGON ((-95.5912846 29.7237527, -95.5912863 29.7239524, -95.5909075 29.7239549, -95.5909058 29.7237551, -95.5912846 29.7237527))"
Polygon,"POLYGON ((-95.5115109 29.6556957, -95.5115853 29.6556969, -95.5115847 29.6555454, -95.5115599 29.6555459, -95.5115599 29.6555611, -95.5115076 29.6555599, -95.5115109 29.6556957))"
Polygon,"POLYGON ((-95.525626 29.6649519, -95.5255981 29.6649523, -95.5255963 29.6648546, -95.5256208 29.6648543, -95.525619 29.6647548, -95.5261002 29.6647482, -95.5261016 29.6648275, -95.5261238 29.6648272, -95.526126 29.6649469, -95.5261039 29.6649472, -95.5261041 29.6649588, -95.5260882 29.664959, -95.5260886 29.6649788, -95.5259035 29.6649814, -95.5259046 29.6650375, -95.5258257 29.6650387, -95.5258246 29.6649811, -95.5256417 29.6649837, -95.5256414 29.6649661, -95.5256262 29.6649663, -95.525626 29.6649519))"
Polygon,"POLYGON ((-95.4618449 29.6682413, -95.4618696 29.6681714, -95.4621803 29.6682542, -95.4621557 29.668324, -95.4618449 29.6682413))"
Polygon,"POLYGON ((-95.459273 29.6488329, -95.4559574 29.6502095, -95.4559558 29.65011, -95.4558501 29.6443196, -95.4591684 29.6442678, -95.4592386 29.6487706, -95.459273 29.6488329))"
Polygon,"POLYGON ((-95.4769856 29.6560633, -95.4767663 29.6559319, -95.4768678 29.655804, -95.4770871 29.6559354, -95.4769856 29.6560633))"
Polygon,"POLYGON ((-95.5519041 29.9687337, -95.5522504 29.9683743, -95.5525194 29.9680728, -95.5527209 29.9678037, -95.552867 29.9675088, -95.5529315 29.967302, -95.5529699 29.9670793, -95.5529785 29.9668993, -95.552966 29.9664795, -95.5529485 29.9658913, -95.5529417 29.9656625, -95.5527849 29.9654925, -95.5523994 29.9652576, -95.5520729 29.9650501, -95.5507432 29.9641446, -95.5506975 29.9641236, -95.5505259 29.9641399, -95.5504773 29.9641656, -95.5504091 29.9642565, -95.5503407 29.964382, -95.5502187 29.964669, -95.5501307 29.9648997, -95.5500215 29.9651233, -95.5499175 29.9652622, -95.549815 29.9654091, -95.5497868 29.965495, -95.5492971 29.9660455, -95.5493748 29.9661431, -95.5503169 29.966779, -95.5491337 29.9671969, -95.548358 29.9674743, -95.5479515 29.9676234, -95.5480231 29.9677952, -95.5481183 29.9679718, -95.548207 29.9680871, -95.5483285 29.9682066, -95.5484586 29.9683107, -95.5485572 29.9683786, -95.5486198 29.9684129, -95.548501 29.9685476, -95.5483774 29.9686877, -95.5483631 29.9697316, -95.5482446 29.9700632, -95.5497748 29.9700655, -95.551549 29.9700574, -95.5515611 29.9697612, -95.5515826 29.9695451, -95.5516309 29.9693348, -95.5516904 29.9691333, -95.5517663 29.9689537, -95.5519041 29.9687337))"
Polygon,"POLYGON ((-95.6338486 29.9258209, -95.6336984 29.9261138, -95.6335562 29.9263207, -95.6329313 29.9270041, -95.6345129 29.928146, -95.634554 29.9281757, -95.6339747 29.928815, -95.6323546 29.927648, -95.63214 29.9278805, -95.6305414 29.9267391, -95.6301096 29.9272226, -95.6293801 29.9272389, -95.6291011 29.9273459, -95.6287792 29.9273877, -95.628731 29.9249631, -95.6288651 29.9248678, -95.6290501 29.924833, -95.6294149 29.9248446, -95.6299433 29.9248888, -95.6307828 29.9250585, -95.6309277 29.9251538, -95.6310833 29.9249515, -95.6312844 29.9245029, -95.631676 29.9246424, -95.6326148 29.9250631, -95.6338486 29.9258209))"
