index,m,n,,
191,-95.20740307,29.58334782,,
192,-95.28561494,29.69976858,,
193,-95.31601857,29.69404206,,
194,-95.3595135,29.71141454,,
195,-95.38740168,29.72349545,,
196,-95.3942686,29.69956315,,
197,-95.38883862,29.70223067,,
198,-95.39850635,29.69254182,,
199,-95.40907661,29.70018386,,
200,-95.43092446,29.80916132,,
201,-95.40425596,29.80341186,,
202,-95.31284244,29.81183404,,
203,-95.41041012,29.78668293,,
204,-95.39950113,29.71067407,,
205,-95.20045353,29.7707222,,
206,-95.11935773,29.55472087,,
207,-95.39904239,29.81489596,,
208,-95.39111025,29.77433936,,
209,-95.42984,29.820007,,
210,-95.3992207,29.7881266,,
211,-95.45409266,29.68323535,,
212,-95.38432243,29.8602005,,
213,-95.40826282,29.84689074,,
214,-95.3848112,29.83479162,,
215,-95.38376472,29.85033587,,
216,-95.22966452,30.04458862,,
217,-95.18880047,30.05702475,,
218,-95.25476381,30.0502872,,
219,-95.25916373,30.0479959,,
220,-95.40458012,29.85830804,,
221,-95.40828248,29.84797009,,
222,-95.45903232,29.7221328,,
223,-95.54678365,29.78122924,,
224,-95.5001925,29.70764938,,
225,-95.57223303,29.73627402,,
226,-95.46765085,29.72278584,,
227,-95.46488246,29.66362566,,
228,-95.69177195,29.78729278,,
229,-95.69827339,29.7872036,,
230,-95.59422129,29.72870759,,
231,-95.52203602,29.69340815,,
232,-95.54671969,29.82389937,,
233,-95.57229796,29.68012595,,
234,-95.57975494,29.73251116,,
235,-95.60591658,29.76979285,,
236,-95.68742831,29.78756258,,
237,-95.68705509,29.78622535,,
238,-95.68679329,29.78596362,,
239,-95.63057676,29.78683702,,
240,-95.46632678,29.74533584,,
241,-95.47337153,29.70836543,,
242,-95.49794252,29.70950492,,
243,-95.62793744,29.7564462,,
244,-95.62674349,29.75773308,,
245,-95.62607664,29.75614022,,
246,-95.50220385,29.72091356,,
247,-95.59109603,29.72385378,,
248,-95.51154804,29.6556254,,
249,-95.52586276,29.66487236,,
250,-95.46201258,29.66824771,,
251,-95.45748504,29.646924,,
252,-95.4769267,29.65593365,,
253,-95.5506694,29.96745792,,
254,-95.63139257,29.92633941,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
