index,x,y
0,-95.4611351037132,29.595886636703405
1,-95.4628487911804,29.590425266006466
2,-95.45133012419952,29.587092029713965
3,-95.45904621881068,29.592573193146325
4,-95.46683236781969,29.585072384369234
5,-95.4585609276071,29.58358036658661
6,-95.48051705294884,29.603229799624504
7,-95.47109902931541,29.600436016485187
8,-95.47071891122754,29.594668145436255
9,-95.47820382963494,29.59526669896741
10,-95.47667583344366,29.58629631252667
11,-95.48888121465941,29.604851983735603
12,-95.48731627514974,29.58975635706412
13,-95.50300763335521,29.613191906891487
14,-95.50378247000025,29.60535821555939
15,-95.49637777929748,29.604587610989494
16,-95.508233192698,29.60267572095089
17,-95.50885543055244,29.611446742926503
18,-95.51149558374173,29.585269477744813
19,-95.51754247719128,29.587636563583928
20,-95.5067705230327,29.59703317168769
21,-95.49885852274767,29.58959649992182
22,-95.51473275555072,29.575787428371523
23,-95.59683139447125,29.660526305256543
24,-95.61081903658884,29.664257150028842
25,-95.6224297113737,29.661332075708334
26,-95.6421915980793,29.67746941225238
27,-95.62019442629634,29.667120876995217
28,-95.64404831539173,29.681053471241892
29,-95.66998809724083,29.700364275543436
30,-95.67285719582235,29.700665856059885
31,-95.64556323791145,29.666376296624165
32,-95.64699856105887,29.671604696543955
33,-95.76006306222894,29.695170628788595
34,-95.77058007899022,29.738451976643148
35,-95.72854559938615,29.72242968393822
36,-95.70975507004145,29.71223122430467
37,-95.769196714998,29.71750261644619
38,-95.7650549329838,29.70518968729975
39,-95.77459239389238,29.72786927907867
40,-95.77556350678087,29.712055288445313
41,-95.77280093468715,29.691181684497806
42,-95.35714838215213,29.757840051952567
43,-95.36776499096555,29.751849496177865
44,-95.36522202044875,29.76210498396073
45,-95.35172232158276,29.767065941110726
46,-95.35360906622176,29.78707026370765
47,-95.36039890079054,29.782583307925414
48,-95.3609560079124,29.786353033204595
49,-95.3675912120188,29.787642496762448
50,-95.36231414800787,29.797371757817153
51,-95.35335661728598,29.79531128008958
52,-95.3642487247248,29.793882610875194
53,-95.37003292550953,29.811388489011303
54,-95.3615775894167,29.810543670927682
55,-95.3614875876249,29.80352512977989
56,-95.3691112078919,29.804866922075316
57,-95.35404701812885,29.80233441132827
58,-95.35285501792866,29.809525202879705
59,-95.35434669490213,29.806580626149806
60,-95.34499587876147,29.797010859619913
61,-95.34570699145723,29.781013629164324
62,-95.33418971655779,29.80399797874303
63,-95.3268744585624,29.804402622044417
64,-95.33629475803767,29.79780736335871
65,-95.3288321963882,29.796511824841893
66,-95.33812671983917,29.785521197533505
67,-95.33416008796812,29.791649001765464
68,-95.32494777741218,29.788570234122734
69,-95.3293198816496,29.788673161419627
70,-95.33133978566183,29.78266603174191
71,-95.33337090668167,29.7860714016169
72,-95.3206013850447,29.804716442837282
73,-95.32016734840046,29.795639722467545
74,-95.32035794633599,29.789719123795177
75,-95.33084873906898,29.773453439027104
76,-95.33730703391669,29.772571645562294
77,-95.32024350832408,29.77664928606145
78,-95.33117020869446,29.77869980382018
79,-95.32072565140365,29.782055569256503
80,-95.32044702756498,29.77217185549125
81,-95.32160847785674,29.764245101381206
82,-95.33545345617432,29.765562897664097
83,-95.2895133408992,29.762144824839346
84,-95.30940925770581,29.768153279991154
85,-95.30052459849544,29.76632599612555
86,-95.29500587116256,29.768174052055254
87,-95.29204186555647,29.77489073999959
88,-95.31157626900837,29.784676542361616
89,-95.31153467913019,29.778268279113817
90,-95.3096205234334,29.804723298134466
91,-95.29857478255471,29.799214368871013
92,-95.31359295849698,29.794729215857295
93,-95.3050305127459,29.783566167287194
94,-95.29984676569654,29.78552390153148
95,-95.29410561643869,29.78386979056976
96,-95.29950376546444,29.781920937229767
97,-95.35772349395747,29.77547935206194
98,-95.35724020162016,29.780564669848488
99,-95.35178367281834,29.773022420492136
100,-95.35301234231679,29.778932188611705
101,-95.36373475138356,29.77801330780209
102,-95.29823233350734,29.77782439811465
103,-95.28289807153794,29.78859293384392
104,-95.30522429778821,29.77716878519428
105,-95.2767766093995,29.76820694552924
106,-95.27019354385963,29.764842505392917
107,-95.2814689087583,29.747611844711468
108,-95.34528342034713,29.814634121169583
109,-95.33886422054248,29.816572251038597
110,-95.36901739620735,29.81666251271289
111,-95.35713529609869,29.816410215767384
112,-95.3720182463628,29.82614760530529
